"N","T0","T1","rho","method","bias_point","rmse_point","cover95_point"
64,50,20,-0.8,"SCM",-0.136447905407509,0.471804935845927,NA
64,50,20,-0.8,"BSCM",-0.179649104875496,0.254442590399456,0
64,50,20,-0.8,"SCSPILL",-8.6527622466319e-05,0.0029448477904188,0.9421
64,50,20,-0.3,"SCM",-0.0684107478871296,0.335388159802198,NA
64,50,20,-0.3,"BSCM",-0.0734574762093345,0.103881219316957,4.99999999999993e-05
64,50,20,-0.3,"SCSPILL",-0.00040408825402294,0.00633733045828074,0.93925
64,50,20,-0.1,"SCM",-0.0217419228443741,0.298546845178422,NA
64,50,20,-0.1,"BSCM",-0.0264125396262364,0.0372594092134173,0.00034999999999999
64,50,20,-0.1,"SCSPILL",2.15133720839583e-05,0.00816721496407263,0.93595
64,50,20,0,"SCM",0.00264161812251996,0.29087579258781,NA
64,50,20,0,"BSCM",3.41755123571033e-10,1.71698719850339e-07,1
64,50,20,0,"SCSPILL",-0.00022323072840095,0.00881015464903128,0.9514
64,50,20,0.1,"SCM",0.0257574655824789,0.285395859264178,NA
64,50,20,0.1,"BSCM",0.0288545515320801,0.0409763027259641,0.00014999999999999
64,50,20,0.1,"SCSPILL",-0.00014741340451066,0.0101315820007682,0.94305
64,50,20,0.3,"SCM",0.0910952015270751,0.304254524568192,NA
64,50,20,0.3,"BSCM",0.0990941876178589,0.139830920436043,4.99999999999992e-05
64,50,20,0.3,"SCSPILL",-0.00067519796356943,0.0131058326756625,0.94555
64,50,20,0.8,"SCM",0.461662126742096,0.795462436163,NA
64,50,20,0.8,"BSCM",0.507337778165518,0.719751765765693,0
64,50,20,0.8,"SCSPILL",-0.00146712726518419,0.0501931424123121,0.944
