"N","T0","T1","rho","method","bias_point","rmse_point","cover95_point"
64,50,50,-0.8,"SCM",-0.145498619061748,0.473981555059925,NA
64,50,50,-0.8,"BSCM",-0.181420185686804,0.256095081349399,2.00000000000001e-05
64,50,50,-0.8,"SCSPILL",-7.51536660350694e-05,0.00289227760692862,0.94786
64,50,50,-0.3,"SCM",-0.0665684475397834,0.335583824270914,NA
64,50,50,-0.3,"BSCM",-0.0732135761757883,0.103827686171881,7.99999999999998e-05
64,50,50,-0.3,"SCSPILL",-7.44391137000845e-05,0.00637404563295736,0.94206
64,50,50,-0.1,"SCM",-0.0229608924858847,0.301183442538683,NA
64,50,50,-0.1,"BSCM",-0.0264519929258281,0.0372652529686449,0.00024
64,50,50,-0.1,"SCSPILL",-0.00025734813654251,0.00791964337664311,0.95408
64,50,50,0,"SCM",0.00099383578170214,0.289264478917349,NA
64,50,50,0,"BSCM",1.83150390841233e-10,1.71199008289155e-07,1
64,50,50,0,"SCSPILL",-0.00028188334874929,0.00885802210311568,0.95806
64,50,50,0.1,"SCM",0.02341805898986,0.286762615769469,NA
64,50,50,0.1,"BSCM",0.0286821783967889,0.0407125056452742,0.00023999999999999
64,50,50,0.1,"SCSPILL",0.00023065428662999,0.00991799232698043,0.9511
64,50,50,0.3,"SCM",0.0882361434328767,0.304044485323404,NA
64,50,50,0.3,"BSCM",0.098423356600227,0.139483757492671,7.99999999999998e-05
64,50,50,0.3,"SCSPILL",-0.00056785193907571,0.0130928527094076,0.95264
64,50,50,0.8,"SCM",0.464339360415377,0.804882463879819,NA
64,50,50,0.8,"BSCM",0.51013316447478,0.724743135013594,2.00000000000001e-05
64,50,50,0.8,"SCSPILL",0.00033520926761659,0.049871897189885,0.94804
