"N","T0","T1","rho","method","bias_point","rmse_point","cover95_point"
16,50,20,-0.8,"SCM",-0.143315059530507,0.43827821507851,NA
16,50,20,-0.8,"BSCM",-0.172397599925601,0.244221932762427,0
16,50,20,-0.8,"SCSPILL",-0.000496333149489097,0.00469208466551859,0.94
16,50,20,-0.3,"SCM",-0.063007404068203,0.326357724688208,NA
16,50,20,-0.3,"BSCM",-0.0724051516815525,0.102523112149893,4.99999999999996e-05
16,50,20,-0.3,"SCSPILL",-0.00116384879954325,0.0117568337498079,0.93605
16,50,20,-0.1,"SCM",-0.0239453711932427,0.29736582028453,NA
16,50,20,-0.1,"BSCM",-0.0260245743652854,0.0368348935465171,0
16,50,20,-0.1,"SCSPILL",-0.000987508829902362,0.0143814941872623,0.947
16,50,20,0,"SCM",0.00171964617610899,0.288803955045513,NA
16,50,20,0,"BSCM",2.63902853223613e-11,1.28059185589118e-08,1
16,50,20,0,"SCSPILL",-0.00110307255134407,0.0157614783877885,0.957
16,50,20,0.1,"SCM",0.0292376942161324,0.283177423565009,NA
16,50,20,0.1,"BSCM",0.029268597023385,0.0413275461232622,0
16,50,20,0.1,"SCSPILL",-0.000898899136443458,0.0182110273935727,0.944
16,50,20,0.3,"SCM",0.0905665547552535,0.306490541655788,NA
16,50,20,0.3,"BSCM",0.101888685142879,0.143288114620999,0
16,50,20,0.3,"SCSPILL",0.000185566458188592,0.0242505229686011,0.953
16,50,20,0.8,"SCM",0.504253205188744,0.937410089522495,NA
16,50,20,0.8,"BSCM",0.567558194723642,0.803380946232535,0
16,50,20,0.8,"SCSPILL",0.000133551743324286,0.0782132564228103,0.952
