"N","T0","T1","rho","method","bias_point","rmse_point","cover95_point"
16,50,50,-0.8,"SCM",-0.149477682116776,0.440446055926788,NA
16,50,50,-0.8,"BSCM",-0.175005718594728,0.247352577034019,2.00000000000004e-05
16,50,50,-0.8,"SCSPILL",-0.00044379844293189,0.00461171840312949,0.95102
16,50,50,-0.3,"SCM",-0.0648009675972041,0.32623356208719,NA
16,50,50,-0.3,"BSCM",-0.0722830865560521,0.101978749077129,0
16,50,50,-0.3,"SCSPILL",-0.000792800008057326,0.0109534709908706,0.947
16,50,50,-0.1,"SCM",-0.0215605845833504,0.298240379557882,NA
16,50,50,-0.1,"BSCM",-0.0261508828848468,0.0368697803570969,0
16,50,50,-0.1,"SCSPILL",-0.000695328443283977,0.014111373608649,0.954
16,50,50,0,"SCM",0.000393475509481679,0.289072848571612,NA
16,50,50,0,"BSCM",3.70437375930224e-11,1.25526389831422e-08,1
16,50,50,0,"SCSPILL",-0.000533172356051223,0.0163145142000475,0.937
16,50,50,0.1,"SCM",0.0267101609379129,0.286788649277764,NA
16,50,50,0.1,"BSCM",0.0290235078588505,0.0411341485240598,4.00000000000003e-05
16,50,50,0.1,"SCSPILL",-6.79015260791361e-05,0.0179673048405522,0.95002
16,50,50,0.3,"SCM",0.0913816622816458,0.309317127256978,NA
16,50,50,0.3,"BSCM",0.100953686374231,0.142959706242772,0
16,50,50,0.3,"SCSPILL",-0.000762406348073871,0.0250733919712297,0.948
16,50,50,0.8,"SCM",0.510203982698869,0.950713403974782,NA
16,50,50,0.8,"BSCM",0.573244725198054,0.808297180363701,0
16,50,50,0.8,"SCSPILL",0.000744680067681563,0.0755007131838876,0.96056
