"N","T0","T1","rho","method","bias_point","rmse_point","cover95_point"
36,20,50,-0.8,"SCM",-0.129380867723486,0.536174842121245,NA
36,20,50,-0.8,"BSCM",-0.178252412115208,0.254495643782923,0.19754
36,20,50,-0.8,"SCSPILL",-0.000286092841852411,0.0296935249050925,0.95098
36,20,50,-0.3,"SCM",-0.0608434854741109,0.385830886989991,NA
36,20,50,-0.3,"BSCM",-0.0726517239956303,0.107392401725206,0.48802
36,20,50,-0.3,"SCSPILL",-0.000456641463838763,0.0312550206904704,0.97754
36,20,50,-0.1,"SCM",-0.0205805158491707,0.347556024120909,NA
36,20,50,-0.1,"BSCM",-0.0263920572139083,0.0475134820208755,0.86532
36,20,50,-0.1,"SCSPILL",-0.000927134096992155,0.0331226541268451,0.97968
36,20,50,0,"SCM",-0.000405345947688227,0.335543542903474,NA
36,20,50,0,"BSCM",-8.62844835622336e-05,0.0284880899482456,0.98712
36,20,50,0,"SCSPILL",-0.00108975876972408,0.0339673184507971,0.98242
36,20,50,0.1,"SCM",0.0246239640423642,0.32750231313524,NA
36,20,50,0.1,"BSCM",0.029087488584316,0.0502102918516128,0.84862
36,20,50,0.1,"SCSPILL",-0.000572264289401422,0.0353525509374278,0.98498
36,20,50,0.3,"SCM",0.0858341802477278,0.333838553092062,NA
36,20,50,0.3,"BSCM",0.0994001885069165,0.143533574909871,0.38576
36,20,50,0.3,"SCSPILL",-0.00106739210435372,0.0410794847860554,0.98562
36,20,50,0.8,"SCM",0.468103031526031,0.844502156285467,NA
36,20,50,0.8,"BSCM",0.520901459068397,0.73537771639537,0.0858
36,20,50,0.8,"SCSPILL",-0.00489695100936912,0.11804394912171,0.9802
