"N","T0","T1","rho","method","bias_point","rmse_point","cover95_point"
36,20,20,-0.8,"SCM",-0.129465589273626,0.538461132679719,NA
36,20,20,-0.8,"BSCM",-0.177499535417987,0.25270365172187,0.20085
36,20,20,-0.8,"SCSPILL",-0.000497169966824113,0.0299892121175645,0.9506
36,20,20,-0.3,"SCM",-0.0620470942458574,0.388636909019338,NA
36,20,20,-0.3,"BSCM",-0.0746960909944862,0.108134922184796,0.47735
36,20,20,-0.3,"SCSPILL",-0.000953163211054467,0.0312864046845229,0.9757
36,20,20,-0.1,"SCM",-0.0214288266362647,0.344930876513028,NA
36,20,20,-0.1,"BSCM",-0.026282447188015,0.0473871382807964,0.867
36,20,20,-0.1,"SCSPILL",-0.00071267241229907,0.032708474499641,0.9832
36,20,20,0,"SCM",0.00219627205161798,0.333108016053077,NA
36,20,20,0,"BSCM",-1.01649820968505e-05,0.0292809786171589,0.98655
36,20,20,0,"SCSPILL",-0.000764529718028851,0.0344805703212902,0.98375
36,20,20,0.1,"SCM",0.0231389256394676,0.325401598662517,NA
36,20,20,0.1,"BSCM",0.0295164484174073,0.050252728452068,0.8483
36,20,20,0.1,"SCSPILL",-0.000763214270888576,0.0359157464366149,0.985
36,20,20,0.3,"SCM",0.0851490755864912,0.332403207089969,NA
36,20,20,0.3,"BSCM",0.0990919851946008,0.14278939588047,0.38375
36,20,20,0.3,"SCSPILL",0.000247839311286167,0.0408664697706133,0.9857
36,20,20,0.8,"SCM",0.472076655719259,0.846366148324852,NA
36,20,20,0.8,"BSCM",0.525611736216179,0.737845426844874,0.0845
36,20,20,0.8,"SCSPILL",-0.000497531828611101,0.114439323156253,0.9813
