"N","T0","T1","rho","method","bias_point","rmse_point","cover95_point"
16,20,50,-0.8,"SCM",-0.139470600125893,0.466632668290321,NA
16,20,50,-0.8,"BSCM",-0.172774370823452,0.245224564069326,2.00000000000003e-05
16,20,50,-0.8,"SCSPILL",-0.00122381045421942,0.00769603700980874,0.95312
16,20,50,-0.3,"SCM",-0.0631168041710368,0.351196438166917,NA
16,20,50,-0.3,"BSCM",-0.0720231607664542,0.101764744098396,6e-05
16,20,50,-0.3,"SCSPILL",-0.00151451874451621,0.0179206657501141,0.95002
16,20,50,-0.1,"SCM",-0.0224934466823135,0.321596514860102,NA
16,20,50,-0.1,"BSCM",-0.0260701365675702,0.0369890371650386,0.00014
16,20,50,-0.1,"SCSPILL",-0.00143308784180489,0.0229541422181895,0.942
16,20,50,0,"SCM",-0.00102082570258103,0.313496138659056,NA
16,20,50,0,"BSCM",6.85209940757448e-10,8.61319987300962e-08,1
16,20,50,0,"SCSPILL",-0.00253150468028053,0.0263754724774506,0.94702
16,20,50,0.1,"SCM",0.0292206799578561,0.310865019705055,NA
16,20,50,0.1,"BSCM",0.0290451817683692,0.0410403713607327,7.99999999999998e-05
16,20,50,0.1,"SCSPILL",-0.00411618328369707,0.0309674031002939,0.944
16,20,50,0.3,"SCM",0.0894174368601398,0.324059897337953,NA
16,20,50,0.3,"BSCM",0.101853678197404,0.143478636615855,5.99999999999999e-05
16,20,50,0.3,"SCSPILL",-0.00262479701086377,0.0385520211301973,0.95302
16,20,50,0.8,"SCM",0.511945405914324,0.963748864539175,NA
16,20,50,0.8,"BSCM",0.573665629971214,0.809878424545633,0
16,20,50,0.8,"SCSPILL",0.000165865271223133,0.130839039515631,0.94106
