"N","T0","T1","rho","method","bias_point","rmse_point","cover95_point"
36,50,50,-0.8,"SCM",-0.14568759696175,0.464757280858705,NA
36,50,50,-0.8,"BSCM",-0.180134003936555,0.254916710928007,0
36,50,50,-0.8,"SCSPILL",-0.000328984903591382,0.00378562662530915,0.9399
36,50,50,-0.3,"SCM",-0.0644723644212023,0.328628013737396,NA
36,50,50,-0.3,"BSCM",-0.073203019594511,0.103488711190318,2.00000000000002e-05
36,50,50,-0.3,"SCSPILL",-0.00047735511586001,0.00834202694291927,0.94262
36,50,50,-0.1,"SCM",-0.0253078293306078,0.298182747249254,NA
36,50,50,-0.1,"BSCM",-0.0263340905202746,0.037306416335827,6.00000000000001e-05
36,50,50,-0.1,"SCSPILL",-0.00033886312486081,0.00992414086828188,0.954
36,50,50,0,"SCM",0.00117689841986265,0.289709957998924,NA
36,50,50,0,"BSCM",3.56278146821733e-11,3.05520621877593e-08,1
36,50,50,0,"SCSPILL",-0.000246194741964549,0.0116129710977901,0.94402
36,50,50,0.1,"SCM",0.0265288712041555,0.286728365565786,NA
36,50,50,0.1,"BSCM",0.0290444829906948,0.04109098314469,1e-04
36,50,50,0.1,"SCSPILL",-0.000638968186916711,0.0132066652015131,0.947
36,50,50,0.3,"SCM",0.0890482559603145,0.307250044529777,NA
36,50,50,0.3,"BSCM",0.098383891821537,0.139448325859084,0
36,50,50,0.3,"SCSPILL",-8.92381880708613e-05,0.0165350027825361,0.955
36,50,50,0.8,"SCM",0.461960474506955,0.829964297282593,NA
36,50,50,0.8,"BSCM",0.513790383658686,0.729920663797597,0
36,50,50,0.8,"SCSPILL",-0.00106078160793254,0.057671966487404,0.94506
