"N","T0","T1","rho","method","bias_point","rmse_point","cover95_point"
64,20,20,-0.8,"SCM",-0.111903038882399,0.602308768010933,NA
64,20,20,-0.8,"BSCM",-0.17782633025125,0.256926885279825,0.24475
64,20,20,-0.8,"SCSPILL",-0.00100197088827108,0.0426954177911809,0.9511
64,20,20,-0.3,"SCM",-0.0594087685555987,0.42262374022668,NA
64,20,20,-0.3,"BSCM",-0.0732639408966336,0.111945378865995,0.56855
64,20,20,-0.3,"SCSPILL",-0.000115045274684756,0.0419687765351432,0.9719
64,20,20,-0.1,"SCM",-0.0250549517087084,0.37773830878045,NA
64,20,20,-0.1,"BSCM",-0.0264247422034086,0.057963948029319,0.9183
64,20,20,-0.1,"SCSPILL",-0.00106344680839763,0.045707480180522,0.9806
64,20,20,0,"SCM",0.00272282159683681,0.362595444048123,NA
64,20,20,0,"BSCM",4.81870028139511e-05,0.0448584351669117,0.97905
64,20,20,0,"SCSPILL",-7.40739888106271e-05,0.0470652467059099,0.9762
64,20,20,0.1,"SCM",0.0242251344700095,0.350648684149278,NA
64,20,20,0.1,"BSCM",0.0289619025802941,0.0574907372291704,0.9152
64,20,20,0.1,"SCSPILL",-0.00107368472244345,0.0444249665076127,0.9807
64,20,20,0.3,"SCM",0.0834481375634122,0.344739660586268,NA
64,20,20,0.3,"BSCM",0.0985599291153152,0.145329717934319,0.50805
64,20,20,0.3,"SCSPILL",-0.00113058674636076,0.0498468118815986,0.98135
64,20,20,0.8,"SCM",0.457070822278906,0.80390959698027,NA
64,20,20,0.8,"BSCM",0.510020161235864,0.72349201454025,0.1274
64,20,20,0.8,"SCSPILL",-0.000480003748880413,0.125941519017743,0.9874
