"N","T0","T1","rho","method","bias_point","rmse_point","cover95_point"
36,50,20,-0.8,"SCM",-0.147733343591623,0.4699205407132,NA
36,50,20,-0.8,"BSCM",-0.178773354888663,0.255178135533835,0
36,50,20,-0.8,"SCSPILL",-0.000254358700582602,0.00365644068039793,0.95205
36,50,20,-0.3,"SCM",-0.0651455082317905,0.329877869389702,NA
36,50,20,-0.3,"BSCM",-0.074597590652101,0.104573427557738,0
36,50,20,-0.3,"SCSPILL",-0.000435953568308793,0.00800158617509401,0.9549
36,50,20,-0.1,"SCM",-0.0239818032557534,0.301073546716348,NA
36,50,20,-0.1,"BSCM",-0.0263536999125549,0.0372788517748775,0
36,50,20,-0.1,"SCSPILL",-0.000297865260066838,0.0102293469499276,0.93205
36,50,20,0,"SCM",0.000916163263619165,0.29087075228601,NA
36,50,20,0,"BSCM",2.81675047601467e-11,2.97990595006441e-08,1
36,50,20,0,"SCSPILL",-1.27659074054674e-05,0.0112708763015119,0.955
36,50,20,0.1,"SCM",0.0267827982818646,0.28592726516299,NA
36,50,20,0.1,"BSCM",0.0291685876105989,0.0410467398285822,0
36,50,20,0.1,"SCSPILL",-0.00016438809156085,0.013042302251887,0.947
36,50,20,0.3,"SCM",0.0918352577922086,0.305695598847414,NA
36,50,20,0.3,"BSCM",0.099905531739374,0.140819216512625,0.000150000000000001
36,50,20,0.3,"SCSPILL",-0.000441876769983123,0.0168967644184861,0.946
36,50,20,0.8,"SCM",0.466892102314704,0.835669226007792,NA
36,50,20,0.8,"BSCM",0.520176642526095,0.736832190296215,0
36,50,20,0.8,"SCSPILL",-0.000992658318511241,0.0591115000611872,0.948
