"N","T0","T1","rho","method","bias_point","rmse_point","cover95_point"
16,20,20,-0.8,"SCM",-0.14334123659537,0.47013877075565,NA
16,20,20,-0.8,"BSCM",-0.172736880555972,0.244330049970732,0
16,20,20,-0.8,"SCSPILL",-0.00137819221023432,0.00805436843108391,0.94
16,20,20,-0.3,"SCM",-0.0620016942939116,0.353954462080782,NA
16,20,20,-0.3,"BSCM",-0.0719178135849748,0.101933703936246,9.99999999999999e-05
16,20,20,-0.3,"SCSPILL",-0.000765247498132762,0.0177082985206044,0.9451
16,20,20,-0.1,"SCM",-0.0200754911442418,0.322406952707658,NA
16,20,20,-0.1,"BSCM",-0.0260325455406711,0.0369594180385262,0.00025
16,20,20,-0.1,"SCSPILL",-0.00165992163410122,0.0234790252776211,0.943
16,20,20,0,"SCM",0.000375705288381488,0.313125006091807,NA
16,20,20,0,"BSCM",-6.14152387687267e-10,8.85784880547115e-08,1
16,20,20,0,"SCSPILL",-0.00110757027905104,0.0259248919902306,0.94515
16,20,20,0.1,"SCM",0.0239727568028824,0.310117388374659,NA
16,20,20,0.1,"BSCM",0.0291435503286729,0.0413625101854261,0.00015
16,20,20,0.1,"SCSPILL",-0.00163460484728093,0.0294149163167633,0.94805
16,20,20,0.3,"SCM",0.0887480835477838,0.323122305149724,NA
16,20,20,0.3,"BSCM",0.10023601196672,0.142863662031697,0
16,20,20,0.3,"SCSPILL",-0.00137429659389852,0.0391413433669459,0.951
16,20,20,0.8,"SCM",0.506204613470606,0.95473737098223,NA
16,20,20,0.8,"BSCM",0.563389666728113,0.800451608091118,4.99999999999996e-05
16,20,20,0.8,"SCSPILL",-0.00163246823505781,0.126262287636014,0.9341
