state,state_id,year,cigsale,retprice
Alabama,1,1970,89.80000305175781,39.599998474121094
Alabama,1,1971,95.4000015258789,42.70000076293945
Alabama,1,1972,101.0999984741211,42.29999923706055
Alabama,1,1973,102.9000015258789,42.099998474121094
Alabama,1,1974,108.19999694824219,43.099998474121094
Alabama,1,1975,111.69999694824219,46.599998474121094
Alabama,1,1976,116.19999694824219,50.400001525878906
Alabama,1,1977,117.0999984741211,50.099998474121094
Alabama,1,1978,123,55.099998474121094
Alabama,1,1979,121.4000015258789,56.79999923706055
Alabama,1,1980,123.19999694824219,60.599998474121094
Alabama,1,1981,119.5999984741211,68.80000305175781
Alabama,1,1982,119.0999984741211,73.0999984741211
Alabama,1,1983,116.30000305175781,84.4000015258789
Alabama,1,1984,113,90.80000305175781
Alabama,1,1985,114.5,99
Alabama,1,1986,116.30000305175781,103
Alabama,1,1987,114,110
Alabama,1,1988,112.0999984741211,114.4000015258789
Alabama,1,1989,105.5999984741211,122.30000305175781
Alabama,1,1990,108.5999984741211,139.10000610351562
Alabama,1,1991,107.9000015258789,144.39999389648438
Alabama,1,1992,109.0999984741211,172.1999969482422
Alabama,1,1993,108.5,176.1999969482422
Alabama,1,1994,107.0999984741211,154.60000610351562
Alabama,1,1995,102.5999984741211,155.10000610351562
Alabama,1,1996,101.4000015258789,158.3000030517578
Alabama,1,1997,104.9000015258789,167.39999389648438
Alabama,1,1998,106.19999694824219,180.5
Alabama,1,1999,100.69999694824219,195.60000610351562
Alabama,1,2000,96.19999694824219,270.70001220703125
Arkansas,2,1970,100.30000305175781,36.70000076293945
Arkansas,2,1971,104.0999984741211,38.79999923706055
Arkansas,2,1972,103.9000015258789,44.099998474121094
Arkansas,2,1973,108,45.099998474121094
Arkansas,2,1974,109.69999694824219,45.5
Arkansas,2,1975,114.80000305175781,48.599998474121094
Arkansas,2,1976,119.0999984741211,50.900001525878906
Arkansas,2,1977,122.5999984741211,52.599998474121094
Arkansas,2,1978,127.30000305175781,56.5
Arkansas,2,1979,126.5,58.400001525878906
Arkansas,2,1980,131.8000030517578,61.5
Arkansas,2,1981,128.6999969482422,64.69999694824219
Arkansas,2,1982,127.4000015258789,72.0999984741211
Arkansas,2,1983,128,82
Arkansas,2,1984,123.0999984741211,93.5999984741211
Arkansas,2,1985,125.80000305175781,98.5
Arkansas,2,1986,126,103.5999984741211
Arkansas,2,1987,122.30000305175781,113
Arkansas,2,1988,121.5,119.9000015258789
Arkansas,2,1989,118.30000305175781,127.69999694824219
Arkansas,2,1990,113.0999984741211,141.1999969482422
Arkansas,2,1991,116.80000305175781,146.5
Arkansas,2,1992,126,177.3000030517578
Arkansas,2,1993,113.80000305175781,179.89999389648438
Arkansas,2,1994,108.80000305175781,168.10000610351562
Arkansas,2,1995,113,167.3000030517578
Arkansas,2,1996,110.69999694824219,167.10000610351562
Arkansas,2,1997,108.69999694824219,181.3000030517578
Arkansas,2,1998,109.5,187.3000030517578
Arkansas,2,1999,104.80000305175781,206.89999389648438
Arkansas,2,2000,99.4000015258789,279.29998779296875
California,3,1970,123,38.79999923706055
California,3,1971,121,39.70000076293945
California,3,1972,123.5,39.900001525878906
California,3,1973,124.4000015258789,39.900001525878906
California,3,1974,126.69999694824219,41.900001525878906
California,3,1975,127.0999984741211,45
California,3,1976,128,48.29999923706055
California,3,1977,126.4000015258789,49
California,3,1978,126.0999984741211,58.70000076293945
California,3,1979,121.9000015258789,60.099998474121094
California,3,1980,120.19999694824219,62.099998474121094
California,3,1981,118.5999984741211,66.4000015258789
California,3,1982,115.4000015258789,72.80000305175781
California,3,1983,110.80000305175781,84.9000015258789
California,3,1984,104.80000305175781,94.9000015258789
California,3,1985,102.80000305175781,98
California,3,1986,99.69999694824219,104.4000015258789
California,3,1987,97.5,103.9000015258789
California,3,1988,90.0999984741211,117.4000015258789
California,3,1989,82.4000015258789,126.4000015258789
California,3,1990,77.80000305175781,163.8000030517578
California,3,1991,68.69999694824219,186.8000030517578
California,3,1992,67.5,201.89999389648438
California,3,1993,63.400001525878906,205.10000610351562
California,3,1994,58.599998474121094,190.3000030517578
California,3,1995,56.400001525878906,195.10000610351562
California,3,1996,54.5,197.89999389648438
California,3,1997,53.79999923706055,200.3000030517578
California,3,1998,52.29999923706055,207.8000030517578
California,3,1999,47.20000076293945,224.89999389648438
California,3,2000,41.599998474121094,351.20001220703125
Colorado,4,1970,124.80000305175781,29.399999618530273
Colorado,4,1971,125.5,31.100000381469727
Colorado,4,1972,134.3000030517578,31.200000762939453
Colorado,4,1973,137.89999389648438,32.70000076293945
Colorado,4,1974,132.8000030517578,38.099998474121094
Colorado,4,1975,131,41.70000076293945
Colorado,4,1976,134.1999969482422,44.79999923706055
Colorado,4,1977,132,44.70000076293945
Colorado,4,1978,129.1999969482422,57.400001525878906
Colorado,4,1979,131.5,52.79999923706055
Colorado,4,1980,131,54.599998474121094
Colorado,4,1981,133.8000030517578,58.099998474121094
Colorado,4,1982,130.5,61.400001525878906
Colorado,4,1983,125.30000305175781,73.30000305175781
Colorado,4,1984,119.69999694824219,83.4000015258789
